"community","city","district","address","latitude","longitude","latitude_gps","longitude_gps","type","total_area","total_units","year"
"湖北省监狱管理局宿舍","武汉市","武昌","武昌-水果湖-中南三路21号","30.54722","114.343287","30.5434707422","114.3313305554","公寓","暂无数据","暂无数据","暂无数据"
"中船重工第七一九研究所","武汉市","武昌","武昌-武昌火车站-中山路450号","30.53521","114.318913","30.5319001364","114.306880441","公寓","暂无数据","暂无数据","暂无数据"
"静安上城(别墅)","武汉市","武昌","武昌-中南丁字桥-静安路8号","30.530239","114.328521","30.5267779171","114.3165057124","别墅","暂无数据","暂无数据","2010年"
"宏城金都","武汉市","武昌","武昌-水果湖-中北路97号","30.556184","114.346795","30.5523706609","114.3348558933","公寓","暂无数据","暂无数据","暂无数据"
"红军村楚苑","武汉市","武昌","武昌-水果湖-东湖路91号","30.557738","114.352089","30.5538409472","114.340162568","公寓","暂无数据","暂无数据","暂无数据"
"星星新城","武汉市","武昌","武昌-水果湖-天鹅路48号","30.544922","114.356278","30.5409735288","114.3443462672","公寓","暂无数据","暂无数据","暂无数据"
"知音传媒大厦","武汉市","武昌","武昌-中北路-东湖路169号","30.578716","114.374885","30.5747171106","114.3629518447","公寓","暂无数据","暂无数据","暂无数据"
"武昌梅苑离职干部休养所","武汉市","武昌","武昌-武昌火车站-紫阳东路","30.537831","114.328854","30.5343629783","114.3168451447","公寓","暂无数据","暂无数据","暂无数据"
"中国人寿单位宿舍","武汉市","武昌","武昌-中南丁字桥-丁字桥路97号","30.526789","114.335968","30.5231846038","114.3239733307","公寓","暂无数据","暂无数据","暂无数据"
"小龟山干休所","武汉市","武昌","武昌-小东门-民主路32号","30.55429","114.337427","30.5506540214","114.3254589547","公寓","暂无数据","暂无数据","暂无数据"
"楚商大厦","武汉市","武昌","武昌-小东门-中北路101号","30.557672","114.34507","30.5538889725","114.3331274957","公寓","暂无数据","暂无数据","暂无数据"
"武汉音乐学院家属区","武汉市","武昌","武昌-阅马场首义-解放路255号","30.543124","114.30007","30.5398954463","114.2880554173","公寓","暂无数据","暂无数据","暂无数据"
"融创中心武汉壹号院","武汉市","武昌","武昌-中北路-公正路","30.561468","114.341455","30.5577520513","114.3295046681","公寓","暂无数据","暂无数据","2020年"
"绿地铂瑞公馆","武汉市","武昌","武昌-徐家棚-和平大道","30.588896","114.332904","30.585338904","114.3209257016","公寓","暂无数据","暂无数据","2018年"
"东沙大厦","武汉市","武昌","武昌-中北路-中北路148号","30.571197","114.358404","30.5672234185","114.3464914882","公寓","暂无数据","暂无数据","2004年"
"中南汇荟世界","武汉市","武昌","武昌-水果湖-中南路18号","30.546041","114.341024","30.5423349624","114.3290597646","公寓","暂无数据","暂无数据","2019年"
"江宏张黄新村小区","武汉市","武昌","武昌-南湖花园-岭南路1号","30.519458","114.333921","30.515895731775437","114.32191786957083","暂无数据","25000m²","3000户","2001年"
"胭脂庭院","武汉市","武昌","武昌-司门口-胭脂路49附49号","30.555339","114.315266","30.552068510957806","114.30324723789072","暂无数据","暂无数据","暂无数据","1995年"
"兴松园社区","武汉市","武昌","武昌-积玉桥-和平大道27号","30.562162900117","114.31318197583","30.558909833553972","114.30116703023565","暂无数据","暂无数据","300户","2004年"
"武昌花园山牧师公寓","武汉市","武昌","武昌-司门口-昙华林路","30.557888785742","114.31539054976","30.55461677818211","114.30337383329928","暂无数据","暂无数据","暂无数据","2005年"
"粮道街桃园小区","武汉市","武昌","武昌-司门口-粮道街","30.550891","114.322399","30.547531353356533","114.310386196138","暂无数据","暂无数据","暂无数据","1997年"
"付家坡长途客运站宿舍","武汉市","武昌","武昌-中南丁字桥-梅苑路","30.541569","114.33395","30.53800294186198","114.32195957691398","暂无数据","暂无数据","暂无数据","1999年"
"涂家岭三村","武汉市","武昌","武昌-中南丁字桥-雄楚大道","30.528178","114.333946","30.524613427601484","114.32194566458008","暂无数据","暂无数据","暂无数据","2000年"
"胭脂路地税局宿舍","武汉市","武昌","武昌-司门口-胭脂路","30.55384881603","114.31539998196","30.550577169147747","114.30338009024152","暂无数据","暂无数据","暂无数据","1995年"
"武汉市建筑二公司宿舍(舒家街)","武汉市","武昌","武昌-小东门-舒家街71、73、75、77号","30.548105","114.327542","30.544660107967456","114.31553877726269","暂无数据","暂无数据","暂无数据","1980年"
