address,area,city,community_name,listing_title,municipal_district,price,province,rooms,url
团结街与兴法路交汇处的南行300米,—92~132平米,法库,,"
					
					城建万科城
						",法库,"
							,5000,元/㎡(单价),
							
						",,二居/三居,https:http://faku.newhouse.fang.com/loupan/1631194181.htm
法库县吉祥街办事处东外环路,—93~179平米,法库,,"
					
					玉山帝宝
						",法库,"
							,4300,元/㎡起(单价),
							
						",,二居/三居,https:http://faku.newhouse.fang.com/loupan/1631194183.htm
法库镇吉祥街道,,法库,,"
					
					法库镇吉祥街道原一中南侧地块
						",法库,"
						,价格待定,
					",,,https:http://faku.newhouse.fang.com/loupan/1617168409.htm
法库县吉祥街道龙山东路37路,,法库,,"
					
					法库县吉祥街道龙山东路37路
						",法库,"
						,价格待定,
					",,,https:http://faku.newhouse.fang.com/loupan/1617167791.htm
吉祥街道北门村,,法库,,"
					
					法库县吉祥街道北门村203国道西侧地块
						",法库,"
						,价格待定,
					",,,https:http://faku.newhouse.fang.com/loupan/1617168411.htm
法库县吉祥街道兴法东路22-1号,,法库,,"
					
					法库县吉祥街道兴法东路22-1号
						",法库,"
						,价格待定,
					",,,https:http://faku.newhouse.fang.com/loupan/1617167205.htm
兴盛街西侧、开放西路南侧,—90~140平米,定兴,,"
					
					康城江山府
						",定兴,"
							,7700,元/㎡(单价),
							
						",,二居/三居/四居,https:http://dingxing.newhouse.fang.com/loupan/1313197165.htm
[三环以外]定兴机场路与迎宾大街交汇处,—91~150平米,定兴,,"
					
					方晖公园壹号
						",定兴,"
							,9000,元/㎡(单价),
							
						",,二居/三居/四居,https:http://dingxing.newhouse.fang.com/loupan/1313198199.htm
定兴镇北肖庄村通兴西路(定兴中学北侧...,—103~128平米,定兴,,"
					
					宏屹国际城
						",定兴,"
							,7000,元/㎡(单价),
							
						",,二居/三居,https:http://dingxing.newhouse.fang.com/loupan/1313196515.htm
[三环以外]定兴定兴一中南侧(原定兴南肖庄村),—82~121平米,定兴,,"
					
					定兴宏屹上院
						",定兴,"
							,7700,元/㎡(单价),
							
						",,二居/三居,https:http://dingxing.newhouse.fang.com/loupan/1313198181.htm
华建路南侧、昌盛大街西侧、朝阳路北侧,—70~130平米,定兴,,"
					
					汉印花园
						",定兴,"
							,7500,元/㎡(单价),
							
						",,二居/三居,https:http://dingxing.newhouse.fang.com/loupan/1313195347.htm
定兴县华建路北侧,,定兴,,"
					
					定兴县华建路北侧2022021地块
						",定兴,"
						,价格待定,
					",,,https:http://dingxing.newhouse.fang.com/loupan/1313198003.htm
