address,area,city,community_name,floor,listing_title,municipal_district,orientation,price,province,rooms,unit_price,url,year
城北新城-郯新路69号,22㎡,新沂,翠屏嘉苑,（共6层）,道北-翠屏嘉苑 1室0厅,,南向,10万,,1室0厅,4545元/㎡,https://xinyi.esf.fang.com/chushou/16_5087149.htm,2011年建
主城区-新安路84号,108.66㎡,新沂,供销小区,（共5层）,主城区 供销小区 3室1厅,,南向,65万,,3室1厅,5981元/㎡,https://xinyi.esf.fang.com/chushou/16_5156552.htm,2011年建
主城区-青年路49号,86.33㎡,新沂,阳光帝景城,（共18层）,主城区 阳光帝景城 2室2厅,,南向,75万,,2室2厅,8687元/㎡,https://xinyi.esf.fang.com/chushou/16_5150883.htm,2011年建
城南新城-钟吾南路202号,132.71㎡,新沂,钟吾壹号,（共15层）,城南新城 钟吾壹号 3室2厅,,南向,113万,,3室2厅,8514元/㎡,https://xinyi.esf.fang.com/chushou/16_5145186.htm,2011年建
高隆湾-高隆湾,75㎡,文昌,浙大网新蝶恋海,（共13层）,文昌 浙大网新蝶恋海 2室1厅,,南向,90万,,2室1厅,12000元/㎡,https://wenchang.esf.fang.com/chushou/16_4986059.htm,2015年建
清澜经济开发区-清谰开发区南二环路,48.6㎡,文昌,同业天海紫贝,（共10层）,文昌 同业天海紫贝 1室1厅,,南向,53万,,1室1厅,10905元/㎡,https://wenchang.esf.fang.com/chushou/16_4580416.htm,2015年建
月亮湾-文昌市月亮湾北部起步区的中部,65㎡,文昌,世茂怒放海别墅,（共1层）,文昌 世茂怒放海别墅 2室2厅,,西北向,78万,,2室2厅,12000元/㎡,https://wenchang.esf.fang.com/chushou/16_5055309.htm,2015年建
清澜经济开发区-高隆湾旅游大道西侧,85.07㎡,文昌,中南森海湾,（共12层）,文昌 中南森海湾 2室1厅,,南向,78万,,2室1厅,9168元/㎡,https://wenchang.esf.fang.com/chushou/16_4587724.htm,2015年建
文昌市中区-新市区文清大道椰子大观园正对面,39.66㎡,文昌,叠翠苑,（共16层）,文昌 叠翠苑 1室1厅,,东南向,32万,,1室1厅,8068元/㎡,https://wenchang.esf.fang.com/chushou/16_5144006.htm,2012年建
月亮湾-月亮湾北部起步区,88㎡,文昌,合景月亮湾,（共30层）,文昌 合景月亮湾 3室2厅,,东北向,60万,,2室2厅,6818元/㎡,https://wenchang.esf.fang.com/chushou/16_5134528.htm,2020年建
高隆湾-东方龙湾,90.56㎡,文昌,东方龙湾,（共20层）,文昌 东方龙湾 2室1厅,,南向,100万,,2室1厅,11042元/㎡,https://wenchang.esf.fang.com/chushou/16_5016378.htm,2016年建
月亮湾-月亮湾北部起步区,69㎡,文昌,合景月亮湾,（共30层）,文昌 合景月亮湾 2室1厅,,南向,55万,,2室1厅,7971元/㎡,https://wenchang.esf.fang.com/chushou/16_5020200.htm,2016年建
