"address","area","city","community_name","listing_title","municipal_district","price","province","rooms","url"
"[内至二环]武昌二环线与和平大道交汇处理工大学旁","—115~143平米","武汉","融侨翠隐滨江","融侨翠隐滨江","武昌","价格待定",NA,"三居/四居","https:http://wuhan.newhouse.fang.com/loupan/2610154948.htm"
"[内至二环]武昌和平大道团结路交汇处","","武汉","滨江天街 铂金岛","滨江天街 铂金岛","武昌","15500元/㎡",NA,"","https:http://wuhan.newhouse.fang.com/loupan/2610159084.htm"
"[二至三环]武昌临江大道与紫都路交汇处(武金堤路上唯一红绿灯处转弯即到)","—109~141平米","武汉","国铁·印江澜","国铁·印江澜","武昌","24163元/㎡",NA,"三居/四居","https:http://wuhan.newhouse.fang.com/loupan/2610162158.htm"
"[内至二环]武昌解放路与保安街交汇处","—98~195平米","武汉","信达·新外滩","信达·新外滩","武昌","28500元/㎡",NA,"三居/四居","https:http://wuhan.newhouse.fang.com/loupan/2610163482.htm"
"[二至三环]武昌解放路南(鹦鹉洲长江大桥桥头)","","武汉","融创望江府(望江yoho)","融创望江府(望江yoho)","武昌","16500元/㎡",NA,"","https:http://wuhan.newhouse.fang.com/loupan/2610155980.htm"
"[内环以内]武昌友谊大道401号(阿里总部旁)","—190平米","武汉","城投融创武汉印","城投融创武汉印","武昌","35000元/㎡",NA,"四居","https:http://wuhan.newhouse.fang.com/loupan/2610162842.htm"
"[内环以内]武昌和平大道与纬四路交汇处(7号线徐家棚站b出口对面)","—123~182平米","武汉","福星惠誉月亮湾壹号","福星惠誉月亮湾壹号","武昌","35409元/㎡",NA,"三居/四居","https:http://wuhan.newhouse.fang.com/loupan/2610156546.htm"
"[内环以内]武昌武昌滨江商务区","—203~281平米","武汉","武汉长江中心","武汉长江中心","武昌","45000元/㎡",NA,"四居","https:http://wuhan.newhouse.fang.com/loupan/2610158966.htm"
"[内环以内]武昌沙湖大道与公正路交汇处","—172~237平米","武汉","融创中心武汉壹号院","融创中心武汉壹号院","武昌","38000元/㎡",NA,"四居","https:http://wuhan.newhouse.fang.com/loupan/2610153780.htm"
"[内至二环]武昌中北路和乐业路交汇处东北侧","—140~275平米","武汉","武汉沙湖中心","武汉沙湖中心","武昌","46134元/㎡",NA,"三居/四居","https:http://wuhan.newhouse.fang.com/loupan/2610159100.htm"
"[内至二环]武昌武珞路武商梦时代旁","","武汉","龙湖·天玺","龙湖·天玺","武昌","14000元/㎡",NA,"","https:http://wuhan.newhouse.fang.com/loupan/2610157000.htm"
"[内环以内]武昌长江主轴·武昌内环滨江","—275平米","武汉","联投中心","联投中心","武昌","36500元/㎡",NA,"四居","https:http://wuhan.newhouse.fang.com/loupan/2610153814.htm"
"[内至二环]武昌临江大道","—140~313平米","武汉","保利·江锦1号","保利·江锦1号","武昌","23000元/㎡",NA,"一居/二居/三居/四居","https:http://wuhan.newhouse.fang.com/loupan/2610154816.htm"
"[内环以内]武昌和平大道与新河街交汇处","—112~140平米","武汉","长江悦","长江悦","武昌","380万元/套",NA,"三居/四居","https:http://wuhan.newhouse.fang.com/loupan/2610159122.htm"
"[内至二环]武昌和平大道与才林街交汇处","—115~141平米","武汉","南山·纵横滨江时代","南山·纵横滨江时代","武昌","28000元/㎡",NA,"三居/四居","https:http://wuhan.newhouse.fang.com/loupan/2610159066.htm"
"[内至二环]武昌中北路171号(中北路与东沙大道交汇处)","—227~304平米","武汉","万达御湖汉印","万达御湖汉印","武昌","45000元/㎡",NA,"四居/五居","https:http://wuhan.newhouse.fang.com/loupan/2610157080.htm"
"[内至二环]武昌静安路16号","—117~158平米","武汉","静安府","静安府","武昌","价格待定",NA,"三居/四居","https:http://wuhan.newhouse.fang.com/loupan/2610164044.htm"
"[内至二环]武昌武昌临江大道铁机路","—78~220平米","武汉","融侨滨江城|星域","融侨滨江城|星域","武昌","22000元/㎡",NA,"一居/二居","https:http://wuhan.newhouse.fang.com/loupan/2610154946.htm"
