address,area,city,community_name,floor,listing_title,municipal_district,orientation,price,province,rooms,unit_price,url,year
徐家棚-和平大道750号,131.77㎡,武汉,绿地国际金融城二期,（共32层）,真房真价:绿地二期 南北通透 大落地窗 精装修 满二 急售,,南北向,395万,,3室2厅,29976元/㎡,https://wuhan.esf.fang.com/chushou/3_199394791.htm,2015年建
积玉桥-武昌区临江大道55号,162.6㎡,武汉,锦江国际城,（共27层）,必看好房:锦江国际城 中层 一线江景房 精装修 老证 急售,,南北向,450万,,3室2厅,27675元/㎡,https://wuhan.esf.fang.com/chushou/3_199232545.htm,2005年建
宝丰崇仁路-解放大道576、578号,136.65㎡,武汉,中御公馆,（共34层）,"中御公馆,纯毛坯,3房,南北通透,老证,看房有钥匙",,南北向,310万,,3室2厅,22685元/㎡,https://wuhan.esf.fang.com/chushou/3_199498793.htm,2000年建
盘龙城-盘龙大道47号(百联奥特莱斯正对面),124.32㎡,武汉,帝大御璟城,（共23层）,汉口现房精装修盘龙城7号线口帝大御景城,,南北向,120万,,4室2厅,9652元/㎡,https://wuhan.esf.fang.com/chushou/3_199131396.htm,2021年建
王家湾-琴台大道与玉龙路交汇处,113㎡,武汉,保利庭瑞阅江台,（共6层）,"年中特惠,均价16500起,户型楼层可选,无其他费用 收藏",,南向,203万,,3室2厅,17964元/㎡,https://wuhan.esf.fang.com/chushou/3_199241861.htm,2006年建
四新-城投融创国博城,99.82㎡,武汉,城投融创国博城,（共33层）,汉阳四新+三环内+地铁口+首付2成+毛坯通透3房,,南向,145万,,3室2厅,14526元/㎡,https://wuhan.esf.fang.com/chushou/3_199443639.htm,2010年建
四新-方岛|四新大道与芳草路交汇处,111㎡,武汉,方岛金茂智慧科学城,（共32层）,新房:111平精装修科技住宅+高品质+有地鉄學校商业+可接送,,南北向,195.2万,,3室2厅,17585元/㎡,https://wuhan.esf.fang.com/chushou/3_199507257.htm,2026年建
四新-城投融创国博城,119㎡,武汉,城投融创国博城,（共32层）,新房:119平大气三房+四地鉄环绕+小区有學校+可接送看房,,南北向,172.2万,,3室2厅,14470元/㎡,https://wuhan.esf.fang.com/chushou/3_199335497.htm,2023年建
蔡甸-中国核建锦城,98㎡,武汉,中国核建锦城,（共30层）,"(国企准现房)4号线口,精装住宅三房总价84万",,南北向,84万,,3室2厅,8571元/㎡,https://wuhan.esf.fang.com/chushou/3_199321944.htm,2016年建
盘龙城-盘龙城经济开发区巨龙大道157号,146.91㎡,武汉,F空港中心城,（共30层）,豪华装修 满二 146平 4室2厅2卫 诚心出售 价格可议,,南北向,135万,,4室2厅,9189元/㎡,https://wuhan.esf.fang.com/chushou/3_199491968.htm,2013年建
卓刀泉-雄楚大道450号,145.94㎡,武汉,城投瀚城璞岸,（共32层）,"毛坯房,4室两厅,采光好",,南北向,390万,,4室2厅,26723元/㎡,https://wuhan.esf.fang.com/chushou/3_199484067.htm,2020年建
吴家山-轻轨1号线三店站D出口,100.69㎡,武汉,新城桃李郡,（共22层）,开发商直销!单价8200起!楼层随便挑!享团购价专车接送!!,,南北向,92.8万,,3室2厅,9216元/㎡,https://wuhan.esf.fang.com/chushou/3_199139300.htm,2017年建
盘龙城-盘龙城巨龙大道90号,104㎡,武汉,天汇龙城,（共17层）,盘龙城奥特莱斯旁 国企毛坯三房 口 自带商业 来电优惠,,南向,89万,,3室2厅,8557元/㎡,https://wuhan.esf.fang.com/chushou/3_199463605.htm,2020年建
古田-古田二路轻轨站,97㎡,武汉,华发都荟天地,（共6层）,"央企华发!开发商直销,一手房源,无中芥费 配套就在旁边",,南向,155.2万,,3室2厅,16000元/㎡,https://wuhan.esf.fang.com/chushou/3_199501891.htm,2009年建
积玉桥-和平大道三角路(原武汉理工大旧址),87.97㎡,武汉,武汉恒大首府,（共33层）,次新小区 恒大首府 精装修 采光好 老证 业主急售 随时可看,,东南向,200万,,2室1厅,22735元/㎡,https://wuhan.esf.fang.com/chushou/3_199231336.htm,2018年建
百步亭-江印,104.2㎡,武汉,江印,（共32层）,新房:二七滨江104精装修三房+方正户型+三开间朝南+可接送,,南北向,210万,,3室2厅,20153元/㎡,https://wuhan.esf.fang.com/chushou/3_199315409.htm,2022年建
中北路-中北路147号,134.1㎡,武汉,复地东湖国际六期,（共32层）,复地东湖国际六期 3室2厅 134.1平,,南北向,610万,,3室2厅,45488元/㎡,https://wuhan.esf.fang.com/chushou/3_199500293.htm,2015年建
宗关简易-解放大道与水厂二路交汇处,114.25㎡,武汉,首创天阅一江源,（共33层）,售楼部:首创天阅一江源玻璃幕墙观景楼层环境优美统一装修,,南北向,260万,,3室2厅,22757元/㎡,https://wuhan.esf.fang.com/chushou/3_199461078.htm,2019年建
积玉桥-和平大道三角路(原武汉理工大旧址),89.52㎡,武汉,武汉恒大首府,（共45层）,必看好房:恒大 全新精装修 高层看湖 视野开阔 老证 急售,,东南向,230万,,2室2厅,25692元/㎡,https://wuhan.esf.fang.com/chushou/3_199515738.htm,2006年建
盘龙城-盘龙大道47号(百联奥特莱斯正对面),107.01㎡,武汉,帝大御璟城,（共23层）,开发商直销无中芥费! 7号线口 看房找杨希!一手房源!!,,南向,107万,,3室2厅,9999元/㎡,https://wuhan.esf.fang.com/chushou/3_199319086.htm,2022年建
宗关简易-解放大道与水厂二路交汇处,125㎡,武汉,首创天阅一江源,（共43层）,首创一江源 国企品质一线江景含5000精装 一线临江区,,南向,302万,,3室2厅,24160元/㎡,https://wuhan.esf.fang.com/chushou/3_199461059.htm,2019年建
工业四路-仁和路138号,102.75㎡,武汉,东方玉龙居,（共23层）,地铁房楼层采光好 玉龙居 南北通透 简装3房满二 视野无遮挡,,南北向,138万,,3室2厅,13430元/㎡,https://wuhan.esf.fang.com/chushou/3_199511987.htm,2009年建
百步亭-海赋江城天韵,120.48㎡,武汉,海赋江城天韵,（共34层）,"【潘辉专做海赋】全是发布自己维护房源,真实价格,房东一手信息",,东南向,278万,,3室2厅,23074元/㎡,https://wuhan.esf.fang.com/chushou/3_199169633.htm,2016年建
百步亭-海赋江城天韵,128.64㎡,武汉,海赋江城天韵,（共34层）,"【潘辉专做海赋】全是发布自己维护房源,真实价格,房东一手信息",,南北向,310万,,3室2厅,24098元/㎡,https://wuhan.esf.fang.com/chushou/3_199197204.htm,2016年建
关山-万科城花璟苑,90.64㎡,武汉,万科城花璟苑,（共32层）,万科三房 中高层视野开阔 满二年税费低,,南北向,226万,,3室2厅,24933元/㎡,https://wuhan.esf.fang.com/chushou/3_199512432.htm,2006年建
盘龙城-盘龙大道47号(百联奥特莱斯正对面),107.01㎡,武汉,帝大御璟城,（共14层）,"新上 年底巨惠 看房找杨希!价格有惊喜单价10XXX!,",,南北向,125万,,3室2厅,11681元/㎡,https://wuhan.esf.fang.com/chushou/3_199319088.htm,2021年建
徐家棚-武昌区和平大道750号,118.2㎡,武汉,西斯莱公馆,（共31层）,绿地国际金融城一期 3室2厅 114.04平,,南北向,310万,,3室2厅,26226元/㎡,https://wuhan.esf.fang.com/chushou/3_199516026.htm,2006年建
盘龙城-盘龙大道47号(百联奥特莱斯正对面),110.14㎡,武汉,帝大御璟城,（共23层）,盘龙城奥特莱斯正对面 7号线口 自带和外国语 精装修入住,,南北向,109万,,3室2厅,9896元/㎡,https://wuhan.esf.fang.com/chushou/3_199463584.htm,2020年建
竹叶山花桥-汉口-三眼桥,84㎡,武汉,福星惠誉·星誉国际,（共24层）,福星惠誉星誉国际 二环口 毛坯两房 育才本校旁 新房无税,,南向,185万,,2室2厅,22023元/㎡,https://wuhan.esf.fang.com/chushou/3_199169578.htm,2019年建
四新-老关路与四新南路交汇处,140㎡,武汉,招商江山和樾,（共62层）,新上的汉阳江景房+招商江山和樾+一线看江无遮挡+精装修交房,,南北向,220.8万,,4室2厅,15771元/㎡,https://wuhan.esf.fang.com/chushou/3_199288059.htm,2019年建
汉西-解放大道与建设大道交汇处,109.28㎡,武汉,汉口1872,（共45层）,开发商直销!无后期费!汉口二环+宗关口200米+毛坯住宅,,南北向,234万,,3室2厅,21412元/㎡,https://wuhan.esf.fang.com/chushou/3_199319789.htm,2021年建
